,Shape_Leng,GlobalID,Num,STRIN,STRIN_Desc,Legacy_Nam,Section,M_Start,M_End,City_Town,County,S_Lat,S_Long,M_Lat,M_Long,E_Lat,E_Long,Leg_Length,Leg_Height,Haz_Class,Haz_Rating,Side,Type,Comment,InterimNam,milepost,z
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.22784423828125,464.6365835665878
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.23512268066406,464.90390413569185
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.2512969970703,464.91095595959456
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.26010131835938,465.020743979724
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.26206970214844,464.9935235551578
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.26925659179688,464.81306151002855
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.3000030517578,464.7937984783367
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.31173706054688,464.5765600010283
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.3293914794922,464.64914186437835
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.33978271484375,464.82391558609527
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.34352111816406,464.7862926790522
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.3594512939453,464.98146828230017
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.36489868164062,465.2304008019213
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.37152099609375,465.12609636425327
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.3765411376953,464.9697881993825
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.39999389648438,465.15181435631507
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.4012908935547,465.1843675032711
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.41212463378906,465.1103154269219
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.41744995117188,465.1607867310739
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.4333953857422,465.01919585249635
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.43634033203125,464.864708618496
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.440185546875,464.88694423652015
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.44476318359375,464.8439933038132
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.4501190185547,464.9042486544176
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.45584106445312,465.01419957788835
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.46006774902344,465.10017727445154
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.46812438964844,465.0550052537726
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.47325134277344,464.9966347430823
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.47581481933594,465.04456512908416
0,0.902603447111,{B487B8A5-4804-44AC-81D2-73E750B41837},1,TBD,N/A,N/A,6,239.060073853,239.960174561,Macedon,Wayne,43.07373669,-77.30292391,43.07559669,-77.31145521,43.07726954,-77.32003823,0.902603446781,14.3,N/A,N/A,North,Primary,,N_239.06_239.96,239.47927856445312,465.0067198682716
